,LOGRECNO,BLOCK,NAME,HU100,INTPTLAT,INTPTLON,H0030001,H0030002,H0030003,H0060001,H0060002,H0060003,H0060004,H0060005,H0060006,H0060007,H0060008
0,94559,1000,Block 1000,78,33.8028705,-84.3387489,78,59,19,59,36,4,1,1,0,17,0
1,94563,1006,Block 1006,20,33.8013004,-84.3397152,20,20,0,20,17,0,0,1,0,0,2
2,94564,1007,Block 1007,20,33.7992594,-84.34228,20,19,1,19,19,0,0,0,0,0,0
3,94565,1008,Block 1008,2,33.7965362,-84.3432178,2,1,1,1,1,0,0,0,0,0,0
4,94566,1009,Block 1009,14,33.7983207,-84.3434816,14,14,0,14,13,0,0,1,0,0,0
5,94567,1010,Block 1010,30,33.7998709,-84.3432667,30,30,0,30,28,1,0,1,0,0,0
6,94568,1011,Block 1011,30,33.8033609,-84.3442794,30,29,1,29,26,1,0,2,0,0,0
7,94569,1012,Block 1012,31,33.8036338,-84.3473839,31,31,0,31,29,1,0,1,0,0,0
8,94570,1013,Block 1013,10,33.8034567,-84.3481053,10,10,0,10,10,0,0,0,0,0,0
9,94571,1015,Block 1015,1,33.805151,-84.3480785,1,0,1,0,0,0,0,0,0,0,0
10,94573,1017,Block 1017,44,33.8006526,-84.3465114,44,43,1,43,42,0,0,0,0,0,1
11,94574,1018,Block 1018,29,33.8019768,-84.3468743,29,28,1,28,26,2,0,0,0,0,0
12,94575,1019,Block 1019,17,33.8007109,-84.3481236,17,16,1,16,16,0,0,0,0,0,0
13,94576,1020,Block 1020,21,33.7976782,-84.3472753,21,21,0,21,20,1,0,0,0,0,0
14,94577,1021,Block 1021,28,33.7985675,-84.3459963,28,28,0,28,27,0,1,0,0,0,0
15,94578,1022,Block 1022,19,33.7999502,-84.3455481,19,19,0,19,19,0,0,0,0,0,0
16,94579,1023,Block 1023,33,33.8016471,-84.3431092,33,33,0,33,32,1,0,0,0,0,0
17,94580,1024,Block 1024,36,33.7962956,-84.3466678,36,33,3,33,31,1,0,0,0,1,0
18,94582,1026,Block 1026,19,33.797469,-84.3452662,19,17,2,17,16,0,0,1,0,0,0
19,94583,1030,Block 1030,13,33.7923002,-84.3469411,13,12,1,12,10,0,0,2,0,0,0
20,94584,1031,Block 1031,20,33.7930251,-84.3468315,20,20,0,20,20,0,0,0,0,0,0
21,94585,1032,Block 1032,23,33.7939544,-84.3467711,23,22,1,22,21,0,0,0,0,0,1
22,94586,1034,Block 1034,27,33.7950962,-84.3469834,27,26,1,26,24,0,0,2,0,0,0
23,94587,1035,Block 1035,4,33.7942374,-84.348051,4,4,0,4,4,0,0,0,0,0,0
24,94588,1036,Block 1036,3,33.797984,-84.3410505,3,3,0,3,3,0,0,0,0,0,0
25,94591,1000,Block 1000,32,33.7767438,-84.3317872,32,31,1,31,30,0,0,0,0,0,1
26,94592,1001,Block 1001,64,33.7757428,-84.3340228,64,62,2,62,54,0,1,4,0,0,3
27,94593,1002,Block 1002,11,33.774883,-84.3347041,11,10,1,10,8,2,0,0,0,0,0
28,94594,1003,Block 1003,15,33.775437,-84.3358796,15,14,1,14,12,0,0,1,0,0,1
29,94595,1004,Block 1004,5,33.7774383,-84.3342964,5,4,1,4,4,0,0,0,0,0,0
30,94596,1005,Block 1005,30,33.7768269,-84.3376126,30,27,3,27,27,0,0,0,0,0,0
31,94597,1006,Block 1006,84,33.7747998,-84.3382709,84,80,4,80,72,4,0,4,0,0,0
32,94598,1007,Block 1007,13,33.7777246,-84.3399152,13,13,0,13,12,1,0,0,0,0,0
33,94599,1008,Block 1008,30,33.7768371,-84.3425995,30,28,2,28,27,1,0,0,0,0,0
34,94600,1009,Block 1009,1,33.7746555,-84.3431592,1,1,0,1,1,0,0,0,0,0,0
35,94602,1011,Block 1011,10,33.7733575,-84.3396885,10,9,1,9,8,1,0,0,0,0,0
36,94603,1012,Block 1012,18,33.773557,-84.3428531,18,15,3,15,14,0,0,1,0,0,0
37,94604,1013,Block 1013,15,33.7722038,-84.3375548,15,14,1,14,14,0,0,0,0,0,0
38,94605,1014,Block 1014,25,33.7726806,-84.3343084,25,20,5,20,20,0,0,0,0,0,0
39,94606,1015,Block 1015,2,33.7727518,-84.332475,2,1,1,1,1,0,0,0,0,0,0
40,94607,1016,Block 1016,1,33.7737993,-84.3334725,1,1,0,1,1,0,0,0,0,0,0
41,94608,1017,Block 1017,12,33.7716073,-84.3405714,12,9,3,9,9,0,0,0,0,0,0
42,94611,2000,Block 2000,78,33.7809562,-84.3472968,78,68,10,68,66,0,0,1,0,0,1
43,94612,2001,Block 2001,21,33.7812056,-84.3482652,21,21,0,21,20,0,0,0,0,0,1
44,94613,2002,Block 2002,1,33.7779567,-84.3482498,1,1,0,1,0,1,0,0,0,0,0
45,94614,2003,Block 2003,224,33.77855,-84.3472876,224,205,19,205,195,4,0,6,0,0,0
46,94615,2004,Block 2004,11,33.7768089,-84.3479677,11,10,1,10,9,0,0,0,0,1,0
47,94616,2005,Block 2005,323,33.7766254,-84.3458212,323,269,54,269,206,44,0,9,0,7,3
48,94617,2006,Block 2006,8,33.7772996,-84.3462336,8,5,3,5,4,1,0,0,0,0,0
49,94618,2007,Block 2007,2,33.7761172,-84.3482669,2,2,0,2,2,0,0,0,0,0,0
50,94620,2009,Block 2009,7,33.7775328,-84.3466527,7,5,2,5,3,0,0,2,0,0,0
51,94622,2011,Block 2011,36,33.7730521,-84.3465216,36,35,1,35,31,1,0,3,0,0,0
52,94623,2012,Block 2012,27,33.7722121,-84.3451675,27,25,2,25,23,1,0,1,0,0,0
53,94624,2013,Block 2013,67,33.7715441,-84.3453198,67,64,3,64,53,3,0,6,0,0,2
54,94625,2014,Block 2014,2,33.7714145,-84.3419227,2,2,0,2,1,0,0,0,0,0,1
55,94628,1000,Block 1000,1,33.7741128,-84.3302853,1,1,0,1,1,0,0,0,0,0,0
56,94630,1002,Block 1002,41,33.7716106,-84.3317549,41,37,4,37,35,1,0,0,0,1,0
57,94631,1003,Block 1003,20,33.7697633,-84.3324395,20,18,2,18,18,0,0,0,0,0,0
58,94632,1004,Block 1004,19,33.7697574,-84.3312551,19,18,1,18,16,1,0,1,0,0,0
59,94633,1005,Block 1005,31,33.7695865,-84.3295768,31,30,1,30,28,1,0,1,0,0,0
